,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
164,17,33,65,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4760.0
165,17,14,56,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,6050.0
166,17,11,60,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,4230.0
167,17,5,35,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,5840.0
168,17,5,39,2.0,2,2,2.0,2.0,2.0,2.0,19.0,1,1.0,,9130.0
169,17,5,9,2.0,2,2,,2.0,,2.0,5.0,1,,,
170,17,16,45,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,5860.0
171,17,24,40,2.0,2,2,2.0,2.0,1.0,2.0,20.0,2,1.0,,5700.0
172,17,25,37,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,6420.0
173,17,5,61,2.0,2,2,1.0,1.0,,1.0,16.0,2,6.0,,
174,17,4,35,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6203.0,50.0
175,17,7,78,2.0,1,2,2.0,2.0,2.0,2.0,16.0,1,6.0,,
176,17,9,55,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,7750.0
177,17,15,73,2.0,2,1,2.0,2.0,,2.0,16.0,1,6.0,,6050.0
178,17,14,74,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
179,17,31,41,2.0,2,2,1.0,1.0,,2.0,16.0,2,6.0,,
180,17,15,49,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,6260.0
181,17,17,27,2.0,2,2,2.0,2.0,,2.0,18.0,1,3.0,,6050.0
182,17,15,3,,2,2,,,,,1.0,2,,,
183,17,14,1,,2,2,,,,,,2,,,
184,17,17,23,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,3600.0
185,17,8,58,2.0,2,2,2.0,2.0,,2.0,6.0,2,6.0,,9640.0
186,17,8,63,2.0,2,2,2.0,2.0,,2.0,6.0,1,6.0,,
187,17,13,68,2.0,2,2,2.0,2.0,,2.0,16.0,1,3.0,,5300.0
188,17,30,62,2.0,2,2,2.0,2.0,,2.0,21.0,2,3.0,5501.0,5260.0
189,17,17,26,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6209.0,630.0
190,17,15,27,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6206.0,50.0
191,17,7,67,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
192,17,7,68,2.0,2,2,2.0,2.0,2.0,2.0,15.0,1,1.0,,9130.0
193,17,13,50,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5098.0,4810.0
194,17,16,45,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5404.0,5700.0
195,17,18,13,2.0,2,2,,2.0,,2.0,10.0,2,,,
196,17,18,11,2.0,2,2,,2.0,,2.0,7.0,1,,,
197,17,23,45,2.0,2,2,2.0,2.0,2.0,2.0,17.0,1,1.0,,6260.0
198,17,22,39,2.0,2,2,2.0,2.0,,2.0,17.0,2,6.0,,
199,17,34,15,2.0,2,2,2.0,2.0,,2.0,12.0,2,,,
200,17,6,64,2.0,1,2,2.0,2.0,,2.0,16.0,1,6.0,,9620.0
201,17,10,36,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
202,17,13,18,2.0,2,2,2.0,2.0,,2.0,18.0,1,6.0,,5160.0
203,17,19,39,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6107.0,3255.0
204,17,11,45,2.0,2,2,2.0,2.0,,2.0,21.0,1,3.0,6203.0,5810.0
205,17,9,78,1.0,1,2,1.0,1.0,,1.0,20.0,2,6.0,,3255.0
206,17,19,55,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,4101.0,630.0
207,17,19,53,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,5700.0
208,17,21,11,2.0,2,2,,2.0,,2.0,8.0,2,,,
209,17,18,14,2.0,2,2,,2.0,,2.0,10.0,1,,,
210,17,30,53,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,8610.0
211,17,32,57,2.0,2,2,2.0,2.0,2.0,2.0,22.0,2,1.0,6107.0,1650.0
212,17,9,28,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5601.0,6230.0
213,17,37,23,2.0,1,2,2.0,2.0,,2.0,16.0,1,1.0,,7855.0
214,17,20,42,2.0,2,2,2.0,2.0,,2.0,21.0,1,3.0,5098.0,5120.0
215,17,18,43,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,5501.0,120.0
216,17,19,12,2.0,2,2,,2.0,,2.0,9.0,1,,,
217,17,19,9,2.0,2,2,,2.0,,2.0,6.0,1,,,
218,17,19,7,2.0,2,2,,2.0,,2.0,4.0,1,,,
219,17,7,66,1.0,2,2,1.0,1.0,,2.0,12.0,2,6.0,,
220,17,10,26,1.0,2,1,1.0,1.0,,2.0,18.0,2,6.0,,4610.0
221,17,8,18,2.0,2,2,2.0,2.0,,2.0,14.0,2,3.0,,9920.0
222,17,12,12,2.0,2,2,,2.0,,2.0,9.0,2,,,
223,17,12,12,2.0,2,2,,2.0,,2.0,9.0,2,,,
