,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
289,6,13,26,2.0,2,2,2.0,2.0,,2.0,19.0,1,6.0,,
290,6,13,25,2.0,2,2,2.0,2.0,,2.0,19.0,1,3.0,,4720.0
291,6,34,69,2.0,2,2,2.0,2.0,2.0,2.0,19.0,1,6.0,,
292,6,28,22,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,310.0
293,6,29,22,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
294,6,9,61,2.0,2,2,2.0,2.0,,2.0,20.0,1,1.0,,8650.0
295,6,10,55,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,6006.0,710.0
296,6,20,36,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,4320.0
297,6,1,22,2.0,2,2,2.0,2.0,,2.0,16.0,1,6.0,,
298,6,6,50,2.0,2,2,2.0,2.0,,2.0,20.0,1,1.0,,3740.0
299,6,9,54,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,2304.0,2310.0
300,6,11,24,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4110.0
301,6,2,71,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
302,6,1,73,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,6260.0
303,6,10,47,2.0,2,2,2.0,2.0,,2.0,24.0,1,1.0,5007.0,1020.0
304,6,9,36,2.0,2,2,2.0,2.0,2.0,2.0,21.0,1,1.0,1902.0,2340.0
305,6,10,10,2.0,2,2,,2.0,,2.0,7.0,2,,,
306,6,19,31,2.0,2,2,2.0,2.0,,2.0,16.0,2,3.0,,5400.0
307,6,12,26,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,3600.0
308,6,12,33,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,3700.0,1006.0
309,6,20,69,2.0,2,2,2.0,2.0,,2.0,19.0,1,6.0,,6260.0
310,6,22,51,2.0,2,2,2.0,2.0,2.0,2.0,19.0,1,1.0,,1030.0
311,6,17,49,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,4010.0
312,6,27,20,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,4020.0
313,6,19,18,2.0,2,2,2.0,2.0,,2.0,16.0,2,3.0,,9920.0
314,6,25,45,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,5120.0
315,6,42,16,2.0,2,2,2.0,2.0,,2.0,12.0,1,6.0,,
316,6,29,7,2.0,2,2,,2.0,,2.0,4.0,1,,,
317,6,15,79,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,5506.0,
318,6,7,55,2.0,2,2,2.0,2.0,2.0,2.0,19.0,1,1.0,,6260.0
319,6,7,51,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
320,6,8,21,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4760.0
